states,2010
"United States, Alabama",4785514
"United States, Alaska",713982
"United States, Arizona",6407342
"United States, Arkansas",2915918
"United States, California",37319550
"United States, Colorado",5047539
"United States, Connecticut",3579173
"United States, Delaware",899647
"United States, District of Columbia",605282
"United States, Florida",18846143
"United States, Georgia",9712209
"United States, Hawaii",1364004
"United States, Idaho",1570819
"United States, Illinois",12840545
"United States, Indiana",6490555
"United States, Iowa",3050819
"United States, Kansas",2858266
"United States, Kentucky",4348464
"United States, Louisiana",4544635
"United States, Maine",1327651
"United States, Maryland",5788784
"United States, Massachusetts",6566440
"United States, Michigan",9877597
"United States, Minnesota",5310934
"United States, Mississippi",2970615
"United States, Missouri",5996089
"United States, Montana",990730
"United States, Nebraska",1829591
"United States, Nevada",2702483
"United States, New Hampshire",1316807
"United States, New Jersey",8799451
"United States, New Mexico",2064614
"United States, New York",19399956
"United States, North Carolina",9574586
"United States, North Dakota",674752
"United States, Ohio",11539449
"United States, Oklahoma",3760014
"United States, Oregon",3837614
"United States, Pennsylvania",12711406
"United States, Rhode Island",1053994
"United States, South Carolina",4635846
"United States, South Dakota",816193
"United States, Tennessee",6355518
"United States, Texas",25241897
"United States, Utah",2775413
"United States, Vermont",625886
"United States, Virginia",8024004
"United States, Washington",6743009
"United States, West Virginia",1854265
"United States, Wisconsin",5690538
"United States, Wyoming",564531
"United States, Puerto Rico",3721525
